ID;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;global_id;geoData
880;Тропарёво, вход-выход 8 в 1-й вестибюль;37.4735129;55.6461425;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;0;1;;4131710;{type=Point, coordinates=[37.4735129, 55.6461425]}
881;Тропарёво, вход-выход 7 в 1-й вестибюль;37.474398;55.6465539;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;0;1;;4131713;{type=Point, coordinates=[37.474398, 55.6465539]}
882;Тропарёво, вход-выход 1 во 2-й вестибюль;37.4717578;55.6453196;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;4;5;;4131714;{type=Point, coordinates=[37.4717578, 55.6453196]}
883;Тропарёво, вход-выход 2 во 2-й вестибюль;37.4709532;55.6449484;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;4;5;;4131715;{type=Point, coordinates=[37.4709532, 55.6449484]}
884;Тропарёво, вход-выход 3 во 2-й вестибюль;37.4721169;55.6450545;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;4;5;;4131716;{type=Point, coordinates=[37.4721169, 55.6450545]}
885;Тропарёво, вход-выход 4 во 2-й вестибюль;37.4713839;55.6447182;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;4;5;;4131717;{type=Point, coordinates=[37.4713839, 55.6447182]}
886;Тропарёво, вход-выход 5 во 2-й вестибюль;37.4727678;55.64455;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;4;5;;4131718;{type=Point, coordinates=[37.4727678, 55.64455]}
887;Тропарёво, вход-выход 6 во 2-й вестибюль;37.472059;55.6442227;Тропарёво;Сокольническая линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:40, по 2 пути в 06:00:50; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:50, по 2 пути в 05:42:05; последний поезд по 1 пути в 01:47:50, по 2 пути в 01:21:25";1;4;5;;4131721;{type=Point, coordinates=[37.472059, 55.6442227]}
888;Пушкинская, вход-выход 6 в совмещенный вестибюль;37.6054893;55.7650181;Пушкинская;Таганско-Краснопресненская линия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:57:50; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";4;2;6;;4485043;{type=Point, coordinates=[37.6054893, 55.7650181]}
889;Пушкинская, вход-выход 10 в совмещенный вестибюль;37.6054464;55.7642656;Пушкинская;Таганско-Краснопресненская линия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:57:50; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";4;2;6;;4485044;{type=Point, coordinates=[37.6054464, 55.7642656]}
890;Пушкинская, вход-выход 11 в совмещенный вестибюль;37.608766;55.765759;Пушкинская;Таганско-Краснопресненская линия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:57:50; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";4;2;6;;4485045;{type=Point, coordinates=[37.608766, 55.765759]}
891;Пушкинская, вход-выход 8 в совмещенный вестибюль;37.605901;55.764754;Пушкинская;Таганско-Краснопресненская линия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";4;2;6;;4485046;{type=Point, coordinates=[37.605901, 55.764754]}
892;Пушкинская, вход-выход 13 в совмещенный вестибюль;37.607881;55.765889;Пушкинская;Таганско-Краснопресненская линия;"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:46:10, по 2 пути в 06:00:20; последний поезд по 1 пути в 01:29:00, по 2 пути в 01:37:00";4;2;6;;4485047;{type=Point, coordinates=[37.607881, 55.765889]}
901;Котельники, вход-выход 5 в 1-й вестибюль;37.8563054;55.6753333;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:00";0;5;5;04.08.2020-30.12.2020;25167550;{type=Point, coordinates=[37.8563054, 55.6753333]}
902;Котельники, вход-выход 4 в 1-й вестибюль;37.8564195;55.6748635;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:02";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:02";0;5;5;04.08.2020-30.12.2020;25167617;{type=Point, coordinates=[37.8564195, 55.6748635]}
903;Котельники, вход-выход 3 в 1-й вестибюль;37.857287;55.674517;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:04";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:04";0;5;5;04.08.2020-30.12.2020;25167669;{type=Point, coordinates=[37.857287, 55.674517]}
904;Котельники, вход-выход 6 в 1-й вестибюль;37.8576946;55.6761333;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:05";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:05";0;5;5;04.08.2020-30.12.2020;25168097;{type=Point, coordinates=[37.8576946, 55.6761333]}
